,town,address,video
312500042,С.СТАРА РЕКА,"С.СТАРА РЕКА, ЧИТАЛИЩЕ, ПЛ. ""ХАН АСПАРУХ"" №1",https://evideo.bg/pe202410/31.html#312500042
312500043,С.ТЕНЕВО,"С.ТЕНЕВО, СОУ""ВАСИЛ ЛЕВСКИ"", УЛ. ""ГЕОРГИ ДИМИТРОВ"" №50",https://evideo.bg/pe202410/31.html#312500043
312500044,С.ТЕНЕВО,"С.ТЕНЕВО, КЛУБ НА ПЕНСИОНЕРА, УЛ.""КОЛЬО ТЕНЕВ"" №18",https://evideo.bg/pe202410/31.html#312500044
312500045,С.ТЪРНАВА,"С.ТЪРНАВА, ЧИТАЛИЩЕ ""ЗОРА 1927"", УЛ. ""ОСВОБОЖДЕНИЕ""№7",https://evideo.bg/pe202410/31.html#312500045
312500046,С.ХАДЖИДИМИТРОВО,"С.ХАДЖИДИМИТРОВО, ЧИТАЛИЩЕ ""ВАСИЛ ЛЕВСКИ 1950"", УЛ.""ПРОФ.НОЙКОВ"" №15",https://evideo.bg/pe202410/31.html#312500046
312500047,С.ХАНОВО,"С.ХАНОВО, КЛУБ НА ПЕНСИОНЕРА, УЛ."" СВ.СВ.КИРИЛ И МЕТОДИЙ"" №14А",https://evideo.bg/pe202410/31.html#312500047
312500048,С.ЧАРГАН,"С.ЧАРГАН, КМЕТСТВО, УЛ.""ПАНАЙОТ КУРТЕВ"" №27",https://evideo.bg/pe202410/31.html#312500048
312500049,С.ЧЕЛНИК,"С.ЧЕЛНИК, ЧИТАЛИЩЕ ""ЗОРА 1930""-МАЛЪК САЛОН, УЛ.""ХР.БОТЕВ"" №29",https://evideo.bg/pe202410/31.html#312500049
312600001,ГР.ЯМБОЛ,"ГР.ЯМБОЛ, НУ""СВ.СВ.КИРИЛ И МЕТОДИЙ"" , УЛ.""ХАН ТЕРВЕЛ""№2",https://evideo.bg/pe202410/31.html#312600001
312600002,ГР.ЯМБОЛ,"ГР.ЯМБОЛ, ОБЩИНСКИ ДЕТСКИ КОМПЛЕКС-ОДК , УЛ.""ТЪРГОВСКА""№27",https://evideo.bg/pe202410/31.html#312600002
312600003,ГР.ЯМБОЛ,"ГР.ЯМБОЛ, НУ""СВ.СВ.КИРИЛ И МЕТОДИЙ"" , УЛ.""ХАН ТЕРВЕЛ""№2",https://evideo.bg/pe202410/31.html#312600003
312600004,ГР.ЯМБОЛ,"ГР.ЯМБОЛ, НУ""СВ.СВ.КИРИЛ И МЕТОДИЙ"" , УЛ.""ХАН ТЕРВЕЛ""№2",https://evideo.bg/pe202410/31.html#312600004
312600005,ГР.ЯМБОЛ,"ГР.ЯМБОЛ, НУ""СВ.СВ.КИРИЛ И МЕТОДИЙ"", УЛ.""ХАН ТЕРВЕЛ""№2",https://evideo.bg/pe202410/31.html#312600005
312600006,ГР.ЯМБОЛ,"ГР.ЯМБОЛ, ОУ""ХР.СМИРНЕНСКИ"", УЛ.""ТЪРГОВСКА ""№79",https://evideo.bg/pe202410/31.html#312600006
