"id","region_name","town","address","video"
"091500076","Кърджали","С.ПОТОЧНИЦА","С.ПОТОЧНИЦА, УЧИЛИЩЕ","https://evideo.bg/pe202410/09.html#091500076"
"091500077","Кърджали","С.РУЧЕЙ","С.РУЧЕЙ, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500077"
"091500078","Кърджали","С.МОРЯНЦИ","С.МОРЯНЦИ, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500078"
"091600001","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ОУ ""П.К.ЯВОРОВ","https://evideo.bg/pe202410/09.html#091600001"
"091600002","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ПЪЛНОМОЩНИЧЕСТВОТО КВ.""БОРОВЕЦ""","https://evideo.bg/pe202410/09.html#091600002"
"091600003","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ОУ ""П.К.ЯВОРОВ""","https://evideo.bg/pe202410/09.html#091600003"
"091600004","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ОУ ""П.К.ЯВОРОВ""","https://evideo.bg/pe202410/09.html#091600004"
"091600005","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ЕГ ""ХРИСТО БОТЕВ ""","https://evideo.bg/pe202410/09.html#091600005"
"091600006","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ОУ ""П.К.ЯВОРОВ""","https://evideo.bg/pe202410/09.html#091600006"
"091600007","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ОУ ""П.К.ЯВОРОВ""","https://evideo.bg/pe202410/09.html#091600007"
"091600008","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ОУ ""П.К.ЯВОРОВ""","https://evideo.bg/pe202410/09.html#091600008"
"091600009","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ОУ ""П.К.ЯВОРОВ""","https://evideo.bg/pe202410/09.html#091600009"
"091600010","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ОТЕЦ ПАИСИЙ""","https://evideo.bg/pe202410/09.html#091600010"
"091600011","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ОТЕЦ ПАИСИЙ""","https://evideo.bg/pe202410/09.html#091600011"
"091600012","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ОТЕЦ ПАИСИЙ""","https://evideo.bg/pe202410/09.html#091600012"
"091600013","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ОТЕЦ ПАИСИЙ""","https://evideo.bg/pe202410/09.html#091600013"
"091600014","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ЕГ ""ХРИСТО БОТЕВ ""","https://evideo.bg/pe202410/09.html#091600014"
"091600015","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ЕГ ""ХРИСТО БОТЕВ ""","https://evideo.bg/pe202410/09.html#091600015"
"091600016","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ЕГ ""ХРИСТО БОТЕВ ""","https://evideo.bg/pe202410/09.html#091600016"
"091600017","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ЕГ ""ХРИСТО БОТЕВ ""","https://evideo.bg/pe202410/09.html#091600017"
"091600018","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ОТЕЦ ПАИСИЙ""","https://evideo.bg/pe202410/09.html#091600018"
"091600019","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ОТЕЦ ПАИСИЙ""","https://evideo.bg/pe202410/09.html#091600019"
"091600020","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ОТЕЦ ПАИСИЙ""","https://evideo.bg/pe202410/09.html#091600020"
"091600021","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ЙОРДАН ЙОВКОВ""","https://evideo.bg/pe202410/09.html#091600021"
"091600022","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ЙОРДАН ЙОВКОВ""","https://evideo.bg/pe202410/09.html#091600022"
"091600023","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ЙОРДАН ЙОВКОВ""","https://evideo.bg/pe202410/09.html#091600023"
"091600024","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ЙОРДАН ЙОВКОВ""","https://evideo.bg/pe202410/09.html#091600024"
"091600025","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ОУ ""СВ.КЛИМЕНТ ОХРИДСКИ""","https://evideo.bg/pe202410/09.html#091600025"
"091600026","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ОУ ""СВ.КЛИМЕНТ ОХРИДСКИ""","https://evideo.bg/pe202410/09.html#091600026"
"091600027","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ОУ ""СВ.КЛИМЕНТ ОХРИДСКИ""","https://evideo.bg/pe202410/09.html#091600027"
"091600028","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ПГОД ""ЕВРИДИКА""","https://evideo.bg/pe202410/09.html#091600028"
"091600029","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ПГОД ""ЕВРИДИКА""","https://evideo.bg/pe202410/09.html#091600029"
"091600030","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ПГОД ""ЕВРИДИКА""","https://evideo.bg/pe202410/09.html#091600030"
"091600031","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ПГЕЕ ""КАП. ПЕТКО ВОЙВОДА""","https://evideo.bg/pe202410/09.html#091600031"
"091600032","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ПГЕЕ ""КАП. ПЕТКО ВОЙВОДА""","https://evideo.bg/pe202410/09.html#091600032"
"091600033","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ПГЕЕ ""КАП. ПЕТКО ВОЙВОДА""","https://evideo.bg/pe202410/09.html#091600033"
"091600034","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ПГТ ""ПРОФ. Д-Р АСЕН ЗЛАТАРОВ""","https://evideo.bg/pe202410/09.html#091600034"
"091600035","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ПГТ ""ПРОФ. Д-Р АСЕН ЗЛАТАРОВ""","https://evideo.bg/pe202410/09.html#091600035"
"091600036","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ПГТ ""ПРОФ. Д-Р АСЕН ЗЛАТАРОВ""","https://evideo.bg/pe202410/09.html#091600036"
"091600037","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ПГТ ""ПРОФ. Д-Р АСЕН ЗЛАТАРОВ""","https://evideo.bg/pe202410/09.html#091600037"
"091600038","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ВЛ.ДИМИТРОВ-МАЙСТОРА""","https://evideo.bg/pe202410/09.html#091600038"
"091600039","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ВЛ.ДИМИТРОВ-МАЙСТОРА""","https://evideo.bg/pe202410/09.html#091600039"
"091600040","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ВЛ.ДИМИТРОВ-МАЙСТОРА""","https://evideo.bg/pe202410/09.html#091600040"
"091600041","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ВЛ.ДИМИТРОВ-МАЙСТОРА""","https://evideo.bg/pe202410/09.html#091600041"
"091600042","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ОУ ""ВАСИЛ ЛЕВСКИ""","https://evideo.bg/pe202410/09.html#091600042"
"091600043","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ОУ ""ВАСИЛ ЛЕВСКИ""","https://evideo.bg/pe202410/09.html#091600043"
"091600044","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ЦДГ ""БАБА ТОНКА""","https://evideo.bg/pe202410/09.html#091600044"
"091600045","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ЦДГ ""БАБА ТОНКА""","https://evideo.bg/pe202410/09.html#091600045"
"091600046","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, ЦДГ ""БАБА ТОНКА""","https://evideo.bg/pe202410/09.html#091600046"
"091600047","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ПЕТКО РАЧОВ СЛАВЕЙКОВ""","https://evideo.bg/pe202410/09.html#091600047"
"091600048","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ПЕТКО РАЧОВ СЛАВЕЙКОВ""","https://evideo.bg/pe202410/09.html#091600048"
"091600049","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ПЕТКО РАЧОВ СЛАВЕЙКОВ""","https://evideo.bg/pe202410/09.html#091600049"
"091600050","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ПЕТКО РАЧОВ СЛАВЕЙКОВ""","https://evideo.bg/pe202410/09.html#091600050"
"091600051","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ПЕТКО РАЧОВ СЛАВЕЙКОВ""","https://evideo.bg/pe202410/09.html#091600051"
"091600052","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ПЕТКО РАЧОВ СЛАВЕЙКОВ""","https://evideo.bg/pe202410/09.html#091600052"
"091600053","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ПЕТКО РАЧОВ СЛАВЕЙКОВ""","https://evideo.bg/pe202410/09.html#091600053"
"091600054","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ПЕТКО РАЧОВ СЛАВЕЙКОВ""","https://evideo.bg/pe202410/09.html#091600054"
"091600055","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ПЕТКО РАЧОВ СЛАВЕЙКОВ""","https://evideo.bg/pe202410/09.html#091600055"
"091600056","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ПЕТКО РАЧОВ СЛАВЕЙКОВ""","https://evideo.bg/pe202410/09.html#091600056"
"091600057","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ПЕТКО РАЧОВ СЛАВЕЙКОВ""","https://evideo.bg/pe202410/09.html#091600057"
"091600058","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ПЕТКО РАЧОВ СЛАВЕЙКОВ""","https://evideo.bg/pe202410/09.html#091600058"
"091600059","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ПЕТКО РАЧОВ СЛАВЕЙКОВ""","https://evideo.bg/pe202410/09.html#091600059"
"091600060","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ПЕТКО РАЧОВ СЛАВЕЙКОВ""","https://evideo.bg/pe202410/09.html#091600060"
"091600061","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, СУ ""ПЕТКО РАЧОВ СЛАВЕЙКОВ""","https://evideo.bg/pe202410/09.html#091600061"
"091600062","Кърджали","ГР.КЪРДЖАЛИ","ГР.КЪРДЖАЛИ, КВ.""ГОРНА ГЛЕДКА""- МАГАЗИНА","https://evideo.bg/pe202410/09.html#091600062"
"091600063","Кърджали","С.ПРИЛЕПЦИ","С.ПРИЛЕПЦИ, КМЕТСТВОТО","https://evideo.bg/pe202410/09.html#091600063"
"091600064","Кърджали","С.РЕЗБАРЦИ","С.РЕЗБАРЦИ, КМЕТСТВОТО","https://evideo.bg/pe202410/09.html#091600064"
"091600065","Кърджали","С.ПЕТЛИНО","С.ПЕТЛИНО, УЧИЛИЩНАТА СГРАДА","https://evideo.bg/pe202410/09.html#091600065"
"091600066","Кърджали","С.ОПЪЛЧЕНСКО","С.ОПЪЛЧЕНСКО, ДЕТСКАТА ГРАДИНА","https://evideo.bg/pe202410/09.html#091600066"
"091600067","Кърджали","С.ОПЪЛЧЕНСКО","С.ОПЪЛЧЕНСКО, КМЕТСТВОТО","https://evideo.bg/pe202410/09.html#091600067"
"091600068","Кърджали","С.ОСТРОВИЦА","С.ОСТРОВИЦА, ЧИТАЛИЩЕТО","https://evideo.bg/pe202410/09.html#091600068"
"091600069","Кърджали","С.ГЛУХАР","С.ГЛУХАР, УЧИЛИЩНА СГРАДА","https://evideo.bg/pe202410/09.html#091600069"
"091600070","Кърджали","С.МАКЕДОНЦИ","С.МАКЕДОНЦИ, КМЕТСТВОТО","https://evideo.bg/pe202410/09.html#091600070"
"091600071","Кърджали","С.ВОЛОВАРЦИ","С.ВОЛОВАРЦИ, КМЕТСТВОТО","https://evideo.bg/pe202410/09.html#091600071"
"091600072","Кърджали","С.СЕДЛОВИНА","С.СЕДЛОВИНА, КМЕТСТВОТО","https://evideo.bg/pe202410/09.html#091600072"
"091600073","Кърджали","С.СИПЕЙ","С.СИПЕЙ, КМЕТСТВОТО","https://evideo.bg/pe202410/09.html#091600073"
"091600074","Кърджали","С.ПОВЕТ","С.ПОВЕТ, МАГАЗИНА","https://evideo.bg/pe202410/09.html#091600074"
"091600075","Кърджали","С.ПЕПЕЛИЩЕ","С.ПЕПЕЛИЩЕ, МАГАЗИНА","https://evideo.bg/pe202410/09.html#091600075"
"091600076","Кърджали","С.СОЛИЩЕ","С.СОЛИЩЕ, КМЕТСТВОТО","https://evideo.bg/pe202410/09.html#091600076"
"091600077","Кърджали","С.РАНИ ЛИСТ","С.РАНИ ЛИСТ, УЧИЛИЩНА СГРАДА","https://evideo.bg/pe202410/09.html#091600077"
"091600078","Кърджали","С.БОЛЯРЦИ","С.БОЛЯРЦИ, БИВША ЗДРАВНА СЛУЖБА","https://evideo.bg/pe202410/09.html#091600078"
