id,town,address,video,,,
010300030,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ІІІ-ТО ОСН.У-ЩЕ""ДИМИТЪР ТАЛЕВ"", БУЛ.""СВ. СВ. КИРИЛ И МЕТОДИЙ"" №13",https://evideo.bg/pe202410/01.html#10300030,,,010300030
010300031,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ІІІ-ТО ОСН.У-ЩЕ""ДИМИТЪР ТАЛЕВ"", БУЛ.""СВ. СВ. КИРИЛ И МЕТОДИЙ"" №13",https://evideo.bg/pe202410/01.html#10300031,,,010300031
010300032,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ДНЕВЕН ЦЕНТЪР ЗА ДЕЦА С УВРЕЖДАНИЯ ""ЗОРНИЦА"", УЛ.""СКАПТОПАРА"" №26",https://evideo.bg/pe202410/01.html#10300032,,,010300032
010300033,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, БЛАГОЕВГРАДСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ, УЛ. ""ИВАН МИХАЙЛОВ"" №62",https://evideo.bg/pe202410/01.html#10300033,,,010300033
010300034,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ІІІ-ТО ОСН.У-ЩЕ""ДИМИТЪР ТАЛЕВ"", БУЛ.""СВ. СВ. КИРИЛ И МЕТОДИЙ"" №13",https://evideo.bg/pe202410/01.html#10300034,,,010300034
010300035,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ІІІ-ТО ОСН.У-ЩЕ""ДИМИТЪР ТАЛЕВ"", БУЛ.""СВ. СВ. КИРИЛ И МЕТОДИЙ"" №13",https://evideo.bg/pe202410/01.html#10300035,,,010300035
010300036,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ІІІ-ТО ОСН.У-ЩЕ""ДИМИТЪР ТАЛЕВ"", БУЛ.""СВ. СВ. КИРИЛ И МЕТОДИЙ"" №13",https://evideo.bg/pe202410/01.html#10300036,,,010300036
010300037,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ІІІ-ТО ОСН.У-ЩЕ""ДИМИТЪР ТАЛЕВ"", БУЛ.""СВ. СВ. КИРИЛ И МЕТОДИЙ"" №13",https://evideo.bg/pe202410/01.html#10300037,,,010300037
010300038,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ПГСАГ ""ВАСИЛ ЛЕВСКИ"", УЛ. ТОДОР АЛЕКСАНДРОВ №56",https://evideo.bg/pe202410/01.html#10300038,,,010300038
010300039,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ПГСАГ ""ВАСИЛ ЛЕВСКИ"", УЛ. ТОДОР АЛЕКСАНДРОВ №56",https://evideo.bg/pe202410/01.html#10300039,,,010300039
010300040,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, VІІ-МО СУ""КУЗМАН ШАПКАРЕВ"", УЛ.""ИЛИНДЕН"" №13",https://evideo.bg/pe202410/01.html#10300040,,,010300040
010300041,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, VІІ-МО СУ""КУЗМАН ШАПКАРЕВ"", УЛ.""ИЛИНДЕН"" №13",https://evideo.bg/pe202410/01.html#10300041,,,010300041
