,town,address,video
200700312,С. ЗВЕНЕМИР,"С. ЗВЕНЕМИР, УЛ. ОСМА 9, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/20.html#200700312
200700313,С. КАЛУГЕРЕНЕ,"С. КАЛУГЕРЕНЕ, УЛ. ВТОРА 14, КИНОСАЛОН",https://evideo.bg/pe202410/20.html#200700313
200700314,С. КОЛАРОВО,"С. КОЛАРОВО, УЛ. ШИПКА 1, КМЕТСТВО",https://evideo.bg/pe202410/20.html#200700314
200700315,С. КОСАРА,"С. КОСАРА, УЛ. ВТОРА 2, ЧИТАЛИЩЕН САЛОН",https://evideo.bg/pe202410/20.html#200700315
200700316,С. ЛИСТЕЦ,"С. ЛИСТЕЦ, УЛ. ПЪРВА 17, КМЕТСТВО",https://evideo.bg/pe202410/20.html#200700316
200700317,С. МАЛЪК ПРЕСЛАВЕЦ,"С. МАЛЪК ПРЕСЛАВЕЦ, УЛ. ПРЕСЛАВ 1, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/20.html#200700317
200700318,С. НОЖАРЕВО,"С. НОЖАРЕВО, УЛ. ПЪРВА 1, КИНОСАЛОН",https://evideo.bg/pe202410/20.html#200700318
200700319,С. ОСЕН,"С. ОСЕН, УЛ. ПЪРВА 27, МАГАЗИН",https://evideo.bg/pe202410/20.html#200700319
200700320,С. ПАДИНА,"С. ПАДИНА, УЛ. ПЕТА 5, КМЕТСТВО",https://evideo.bg/pe202410/20.html#200700320
200700321,С. ПОДЛЕС,"С. ПОДЛЕС, УЛ. ПЪРВА 21, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/20.html#200700321
200700322,С. СОКОЛ,"С. СОКОЛ, УЛ. ДИМИТЪР БЛАГОЕВ 30Г, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/20.html#200700322
200700323,С. СТЕФАН КАРАДЖА,"С. СТЕФАН КАРАДЖА, УЛ. ЦЕНТРАЛНА 35, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/20.html#200700323
200700324,С. СУХОДОЛ,"С. СУХОДОЛ, УЛ. ПЪРВА 31, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/20.html#200700324
200700325,С. ЧЕРНОГОР,"С. ЧЕРНОГОР, УЛ. ЧЕТИРИНАДЕСЕТА 26, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/20.html#200700325
201000401,ГР. ДУЛОВО,"ГР. ДУЛОВО, УЛ. ВАСИЛ ЛЕВСКИ 17, ОУ ХРИСТО СМИРНЕНСКИ",https://evideo.bg/pe202410/20.html#201000401
201000402,ГР. ДУЛОВО,"ГР. ДУЛОВО, УЛ. ВАСИЛ ЛЕВСКИ 17, ОУ ХРИСТО СМИРНЕНСКИ",https://evideo.bg/pe202410/20.html#201000402
201000403,ГР. ДУЛОВО,"ГР. ДУЛОВО, УЛ. ВАСИЛ ЛЕВСКИ 17, ОУ ХРИСТО СМИРНЕНСКИ",https://evideo.bg/pe202410/20.html#201000403
201000404,ГР. ДУЛОВО,"ГР. ДУЛОВО, УЛ. ВАСИЛ ЛЕВСКИ 19, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/20.html#201000404
201000405,ГР. ДУЛОВО,"ГР. ДУЛОВО, УЛ. СВ. СВ. КИРИЛ И МЕТОДИЙ 3, СОУ ВАСИЛ ЛЕВСКИ",https://evideo.bg/pe202410/20.html#201000405
201000406,ГР. ДУЛОВО,"ГР. ДУЛОВО, УЛ. СВ. СВ. КИРИЛ И МЕТОДИЙ 3, СОУ ВАСИЛ ЛЕВСКИ",https://evideo.bg/pe202410/20.html#201000406
201000407,ГР. ДУЛОВО,"ГР. ДУЛОВО, УЛ. СВ. СВ. КИРИЛ И МЕТОДИЙ 11, НСУ БИВШЕ УЧЕНИЧЕСКО ОБЩЕЖИТИЕ",https://evideo.bg/pe202410/20.html#201000407
201000408,ГР. ДУЛОВО,"ГР. ДУЛОВО, УЛ. СВ. СВ. КИРИЛ И МЕТОДИЙ 3, СОУ ВАСИЛ ЛЕВСКИ",https://evideo.bg/pe202410/20.html#201000408
201000409,С. ЧЕРНИК,"С. ЧЕРНИК, УЛ. ШЕСТИ МАЙ 49, ЦДГ",https://evideo.bg/pe202410/20.html#201000409
201000410,С. ЧЕРНИК,"С. ЧЕРНИК, УЛ. ЕДЕЛВАЙС 2, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/20.html#201000410
201000411,С. ЧУКОВЕЦ,"С. ЧУКОВЕЦ, УЛ. ДЕТЕЛИНА 23, ОУ СВ. СВ. КИРИЛ И МЕТОДИЙ",https://evideo.bg/pe202410/20.html#201000411
201000413,С. ВОДНО,"С. ВОДНО, УЛ. ПЪРВА 36, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/20.html#201000413
201000414,С. ЧЕРКОВНА,"С. ЧЕРКОВНА, УЛ. СЕДМА 29, ПОМЕЩЕНИЕ В СГРАДАТА НА КМЕТСТВОТО",https://evideo.bg/pe202410/20.html#201000414
201000415,С. ГРЪНЧАРОВО,"С. ГРЪНЧАРОВО, УЛ. ПЪРВА 53, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/20.html#201000415
201000416,С. ПРОХЛАДА,"С. ПРОХЛАДА, УЛ. ПЪРВА 23, ПОМЕЩЕНИЕ В СГРАДАТА НА КМЕТСТВОТО",https://evideo.bg/pe202410/20.html#201000416
201000417,С. ЗЛАТОКЛАС,"С. ЗЛАТОКЛАС, УЛ. ПЪРВА 29, ПОМЕЩЕНИЕ В СГРАДАТА НА КМЕТСТВОТО",https://evideo.bg/pe202410/20.html#201000417
201000418,С. КОЛОБЪР,"С. КОЛОБЪР, УЛ. ПЪРВА 45, ЧИТАЛИЩЕ - ЗАСЕДАТЕЛНА ЗАЛА",https://evideo.bg/pe202410/20.html#201000418
